City, Type, Population
Detroit, city, 713777
Grand Rapids, city, 188040
Warren, city, 134056
Sterling Heights, city, 129699
Lansing, city, 114297
Ann Arbor, city, 113934
Flint, city, 102434
Dearborn, city, 98153
Livonia, city, 96942
Clinton Charter Township, township, 96796
Canton Charter Township, township, 90173
Westland, city, 84094
Troy, city, 80980
Farmington Hills, city, 79740
Macomb Township, township, 79580
Kalamazoo, city, 74262
Shelby Charter Township, township, 73804
Wyoming, city, 72125
Southfield, city, 71739
Waterford Charter Township, township, 71707
Rochester Hills, city, 70995
West Bloomfield Charter Township, township, 64690
Taylor, city, 63131
Saint Clair Shores, city, 59715
Pontiac, city, 59515
Dearborn Heights, city, 57774
Royal Oak, city, 57236
Novi, city, 55224
Ypsilanti Charter Township, township, 53362
Battle Creek, city, 52347
Saginaw, city, 51508
Kentwood, city, 48707
East Lansing, city, 48579
Redford Charter Township, township, 48362
Roseville, city, 47299
Georgetown Charter Township, township, 46985
Portage, city, 46292
Chesterfield Township, township, 43381
Midland, city, 41863
Bloomfield Charter Township Oakland County, township, 41070
Saginaw Charter Township, township, 40840
Commerce Charter Township, township, 40186
Meridian Charter Township, township, 39688
Muskegon, city, 38401
Lincoln Park, city, 38144
Grand Blanc Charter Township, township, 37508
Holland Charter Township, township, 35636
Orion Charter Township, township, 35394
Bay City, city, 34932
Independence Charter Township, township, 34681
Pittsfield Charter Township, township, 34663
Jackson, city, 33534
Holland, city, 33051
Eastpointe, city, 32442
Delta Charter Township, township, 32408
Flint Charter Township, township, 31929
Bedford Township, township, 31085
Plainfield Charter Township, township, 30952
Brownstown Charter Township, township, 30627
Port Huron, city, 30184
Southgate, city, 30047
White Lake Charter Township, township, 30019
Burton, city, 29999
Madison Heights, city, 29694
Oak Park, city, 29319
Van Buren Charter Township, township, 28821
Northville Township, township, 28497
Allen Park, city, 28210
Garden City, city, 27692
Plymouth Charter Township, township, 27524
Mount Pleasant, city, 26016
Wyandotte, city, 25883
Delhi Charter Township, township, 25877
Forest Hills, unincorporated community and CDP, 25867
Inkster, city, 25369
Gaines Charter Township, township, 25146
Washington Township Macomb County, township, 25139
Harrison Charter Township, township, 24587
Blackman Charter Township, township, 24051
Norton Shores, city, 23994
Romulus, city, 23989
Holt, unincorporated community and CDP, 23973
Waverly, unincorporated community and CDP, 23925
Walker, city, 23537
Summit Township Jackson County, township, 22508
Hamtramck, city, 22423
Kalamazoo Charter Township, township, 21918
Oshtemo Charter Township, township, 21705
Genesee Charter Township, township, 21581
Mount Morris Township, township, 21501
Auburn Hills, city, 21412
Okemos, unincorporated community and CDP, 21369
Marquette, city, 21355
Hamburg Township, township, 21165
Adrian, city, 21133
Monroe, city, 20733
Allendale Charter Township, township, 20708
Oxford Charter Township, township, 20526
Frenchtown Township, township, 20428
Byron Township, township, 20317
Birmingham, city, 20103
Scio Township, township, 20081
Ferndale, city, 19900
Genoa Township, township, 19821
Davison Township, township, 19575
Ypsilanti, city, 19435
Haslett, unincorporated community and CDP, 19220
Highland Charter Township, township, 19202
Trenton, city, 18853
Muskegon Charter Township, township, 17840
Park Township Ottawa County, township, 17802
Brighton Township, township, 17791
Wayne, city, 17593
Allendale, unincorporated community and CDP, 17579
Green Oak Township, township, 17476
Cascade Charter Township, township, 17134
Oakland Charter Township, township, 16779
Grand Rapids Charter Township, township, 16661
Jenison, unincorporated community and CDP, 16538
Hazel Park, city, 16422
Mount Clemens, city, 16314
Garfield Charter Township, township, 16256
Grosse Pointe Woods, city, 16135
Huron Charter Township, township, 15879
Milford Charter Township, township, 15736
Fenton Charter Township, township, 15552
Grandville, city, 15378
Owosso, city, 15194
Grand Haven Charter Township, township, 15178
Brandon Charter Township, township, 15175
Mundy Township, township, 15082
Berkley, city, 14970
Comstock Charter Township, township, 14854
Benton Charter Township, township, 14749
Texas Charter Township, township, 14697
Lincoln Charter Township, township, 14691
Traverse City, city, 14674
Hartland Township, township, 14663
Bangor Charter Township, township, 14641
Monroe Charter Township, township, 14568
Southfield Township, township, 14547
Lyon Charter Township, township, 14545
Northview, unincorporated community and CDP, 14541
Fraser, city, 14480
Cutlerville, unincorporated community and CDP, 14370
DeWitt Charter Township, township, 14321
Spring Lake Township, township, 14300
Harper Woods, city, 14236
Niles Township, township, 14164
Sault Ste. Marie, city, 14144
Springfield Charter Township Oakland County, township, 13940
Leoni Township, township, 13807
Fruitport Charter Township, township, 13598
Wixom, city, 13498
Alpine Township, township, 13336
Cannon Township, township, 13336
Vienna Charter Township Genesee County, township, 13255
Ada Township, township, 13142
Superior Charter Township, township, 13058
Union Charter Township, township, 12927
Woodhaven, city, 12875
Rochester, city, 12711
Escanaba, city, 12616
Riverview, city, 12486
Caledonia Township Kent County, township, 12332
Antwerp Township, township, 12182
New Baltimore, city, 12084
Thomas Township, township, 11985
Oceola Township, township, 11936
Clawson, city, 11825
Highland Park, city, 11776
Emmett Charter Township, township, 11770
Fenton, city, 11756
Niles, city, 11600
Bath Charter Township, township, 11598
Grosse Pointe Park, city, 11555
Ionia, city, 11394
Holly Township, township, 11362
South Lyon, city, 11327
Fort Gratiot Charter Township, township, 11108
Sturgis, city, 10994
Coldwater, city, 10945
Muskegon Heights, city, 10856
Monitor Charter Township, township, 10735
Melvindale, city, 10715
East Grand Rapids, city, 10694
East Bay Township, township, 10663
Port Huron Charter Township, township, 10654
Flushing Charter Township, township, 10640
Big Rapids, city, 10601
Bridgeport Charter Township, township, 10514
Alpena, city, 10483
Lenox Township, township, 10470
Grand Haven, city, 10412
Farmington, city, 10372
Grosse Ile Township, township, 10371
Cadillac, city, 10355
Beverly Hills, village, 10267
Beecher, unincorporated community and CDP, 10232
Cooper Charter Township, township, 10111
Comstock Park, unincorporated community and CDP, 10088
Benton Harbor, city, 10038
Saint Joseph Charter Township, township, 10028
Tyrone Township Livingston County, township, 10020
Marion Township Livingston County, township, 9996
Zeeland Charter Township, township, 9971
Marysville, city, 9959
Lambertville, unincorporated community and CDP, 9953
Algoma Township, township, 9932
Egelston Township, township, 9909
Flat Rock, city, 9878
Tittabawassee Township, township, 9726
Hampton Charter Township, township, 9652
Sumpter Township, township, 9549
Ecorse, city, 9512
Howell, city, 9489
Grosse Pointe Farms, city, 9479
Alma, city, 9383
Kimball Township, township, 9358
Bedford Charter Township, township, 9357
Dalton Township, township, 9300
Berlin Charter Township, township, 9299
Oronoko Charter Township, township, 9193
Plymouth, city, 9132
Sparta Township, township, 9110
Charlotte, city, 9074
Clay Township, township, 9066
Alpena Township, township, 9060
Pennfield Charter Township, township, 9001
Lapeer, city, 8841
Saline, city, 8810
Richfield Township Genesee County, township, 8730
York Charter Township, township, 8708
Bruce Township Macomb County, township, 8700
Buena Vista Charter Township, township, 8676
Long Lake Township, township, 8662
Westwood, unincorporated community and CDP, 8653
Madison Charter Township, township, 8621
Albion, city, 8616
Menominee, city, 8599
Tecumseh, city, 8521
Temperance, unincorporated community and CDP, 8517
Greenville, city, 8481
Flushing, city, 8389
Saint Joseph, city, 8365
Hillsdale, city, 8305
Grand Blanc, city, 8276
Spring Arbor Township, township, 8267
Center Line, city, 8257
Mason, city, 8252
Putnam Township, township, 8248
Northfield Township, township, 8245
Schoolcraft Township Kalamazoo County, township, 8214
Blair Township, township, 8209
Lansing Charter Township, township, 8126
Ludington, city, 8076
Handy Township, township, 8006
Atlas Township, township, 7993
Mayfield Township Lapeer County, township, 7955
River Rouge, city, 7903
Thornapple Township, township, 7884
Saint Johns, city, 7865
Three Rivers, city, 7811
Grand Ledge, city, 7786
Ash Township, township, 7783
Houghton, city, 7708
Courtland Township, township, 7678
Fair Plain, unincorporated community and CDP, 7631
Iron Mountain, city, 7624
Clayton Charter Township, township, 7581
Richland Township Kalamazoo County, township, 7580
Tallmadge Charter Township, township, 7575
Laketon Township, township, 7563
Kinross Charter Township, township, 7561
Raisin Charter Township, township, 7559
Saint Louis, city, 7482
Brighton, city, 7444
Dorr Township, township, 7439
Columbia Township Jackson County, township, 7420
Hastings, city, 7350
Hudsonville, city, 7116
Marshall, city, 7088
Thetford Township, township, 7049
Paw Paw Township, township, 7041
Jamestown Charter Township, township, 7034
Walled Lake, city, 6999
Oscoda Charter Township, township, 6997
Freeland, unincorporated community and CDP, 6969
Bridgeport, unincorporated community and CDP, 6950
Argentine Township, township, 6913
Windsor Charter Township, township, 6838
Gaines Township, township, 6820
Saint Clair Township, township, 6817
Buena Vista, unincorporated community and CDP, 6816
Webster Township, township, 6784
Napoleon Township, township, 6776
Dundee Township, township, 6759
Augusta Charter Township, township, 6745
Howell Township, township, 6702
Shields, unincorporated community and CDP, 6587
Almont Township, township, 6583
Ontwa Township, township, 6549
Calumet Charter Township, township, 6489
Ishpeming, city, 6470
South Monroe, unincorporated community and CDP, 6433
Whitmore Lake, unincorporated community and CDP, 6423
Addison Township, township, 6351
Eastwood, unincorporated community and CDP, 6340
Rose Township Oakland County, township, 6250
Huntington Woods, city, 6238
Manistee, city, 6226
Montrose Charter Township, township, 6224
Pavilion Township, township, 6222
Howard Township, township, 6207
Bear Creek Township, township, 6201
Milford, village, 6175
Forsyth Township, township, 6164
Carrollton Township, township, 6103
Coldwater Township Branch County, township, 6102
Holly, village, 6086
Robinson Township, township, 6084
Lodi Township, township, 6058
Indianfields Township, township, 6048
Dexter Township, township, 6042
Adrian Township, township, 6035
Birch Run Township, township, 6033
Solon Township Kent County, township, 5974
Northville, city, 5970
Lowell Charter Township, township, 5949
Chocolay Charter Township, township, 5903
Gun Plain Township, township, 5895
Bagley Township, township, 5886
Dowagiac, city, 5879
Breitung Charter Township, township, 5853
Milan, city, 5836
Grayling Charter Township, township, 5827
Byron Center, unincorporated community and CDP, 5822
Raisinville Township, township, 5816
Oregon Township, township, 5786
Green Lake Township, township, 5784
Oakfield Township, township, 5782
Blendon Township, township, 5772
Swartz Creek, city, 5758
Belding, city, 5757
Richmond, city, 5735
Cambridge Township, township, 5733
Rockford, city, 5719
Boston Township, township, 5709
Deerfield Township Lapeer County, township, 5695
Grass Lake Charter Township, township, 5684
Petoskey, city, 5670
Salem Township Washtenaw County, township, 5627
Otsego Township, township, 5594
Clyde Township St. Clair County, township, 5579
Lake Fenton, unincorporated community and CDP, 5559
Denton Township, township, 5557
Fruitland Township, township, 5543
Laketown Township, township, 5505
Zeeland, city, 5504
Saint Clair, city, 5485
Groveland Township, township, 5476
Comstock Northwest, unincorporated community and CDP, 5455
Peninsula Township, township, 5433
Grosse Pointe, city, 5421
